GENE	AE_1	AE_2
AC010139.1	8233.2	8234.2
DAZL	8234.2	8235.2
AC091493.1	8235.2	8236.2
CDYLP1	8236.2	8237.2
PLCL2	8237.2	8238.2
PLCL2-AS1	8238.2	8239.2
AC090644.1	8239.2	8240.2
TBC1D5	8240.2	8241.2
AC090960.1	8241.2	8242.2
AC140076.1	8242.2	8243.2
AC104451.1	8243.2	8244.2
AC104297.1	8244.2	8245.2
PDCL3P3	8245.2	8246.2
AC132807.1	8246.2	8247.2
AC132807.2	8247.2	8248.2
SATB1	8248.2	8249.2
AC144521.1	8249.2	8250.2
SATB1-AS1	8250.2	8251.2
RAD23BP1	8251.2	8252.2
KCNH8	8252.2	8253.2
EFHB	8253.2	8254.2
HSPA8P18	8254.2	8255.2
RAB5A	8255.2	8256.2
PP2D1	8256.2	8257.2
SAP18P3	8257.2	8258.2
RPL39P18	8258.2	8259.2
KAT2B	8259.2	8260.2
SGO1	8260.2	8261.2
SGO1-AS1	8261.2	8262.2
AC116096.1	8262.2	8263.2
AC099753.1	8263.2	8264.2
VENTXP7	8264.2	8265.2
ZNF385D	8265.2	8266.2
ZNF385D-AS1	8266.2	8267.2
ZNF385D-AS2	8267.2	8268.2
HMGB1P5	8268.2	8269.2
AC092421.1	8269.2	8270.2
AC114477.1	8270.2	8271.2
RANP7	8271.2	8272.2
SALL4P5	8272.2	8273.2
RPL24P7	8273.2	8274.2
UBE2E2-AS1	8274.2	8275.2
UBE2E2	8275.2	8276.2
AC121251.1	8276.2	8277.2
UBE2E1-AS1	8277.2	8278.2
UBE2E1	8278.2	8279.2
ARL4AP4	8279.2	8280.2
NKIRAS1	8280.2	8281.2
RPL15	8281.2	8282.2
NR1D2	8282.2	8283.2
LINC00691	8283.2	8284.2
NPM1P23	8284.2	8285.2
THRB	8285.2	8286.2
RPL31P20	8286.2	8287.2
THRB-IT1	8287.2	8288.2
THRB-AS1	8288.2	8289.2
AC012087.2	8289.2	8290.2
EIF3KP2	8290.2	8291.2
AC092422.1	8291.2	8292.2
RARB	8292.2	8293.2
CFL1P7	8293.2	8294.2
H3P10	8294.2	8295.2
TOP2B	8295.2	8296.2
CRIP1P2	8296.2	8297.2
NGLY1	8297.2	8298.2
AC092798.1	8298.2	8299.2
TAF9BP1	8299.2	8300.2
OXSM	8300.2	8301.2
LINC00692	8301.2	8302.2
RPEP2	8302.2	8303.2
HMGB3P12	8303.2	8304.2
VENTXP4	8304.2	8305.2
LRRC3B	8305.2	8306.2
NEK10	8306.2	8307.2
MICOS10P3	8307.2	8308.2
SLC4A7	8308.2	8309.2
RPS20P15	8309.2	8310.2
AC099535.1	8310.2	8311.2
AC137675.1	8311.2	8312.2
AC098614.1	8312.2	8313.2
AC098614.2	8313.2	8314.2
KIAA1143P2	8314.2	8315.2
LINC02084	8315.2	8316.2
EOMES	8316.2	8317.2
LINC01980	8317.2	8318.2
LINC01981	8318.2	8319.2
LINC01967	8319.2	8320.2
CMC1	8320.2	8321.2
AZI2	8321.2	8322.2
ZCWPW2	8322.2	8323.2
AC098650.1	8323.2	8324.2
FAM96AP1	8324.2	8325.2
AC093142.1	8325.2	8326.2
RBMS3	8326.2	8327.2
RBMS3-AS3	8327.2	8328.2
MESTP4	8328.2	8329.2
RPS12P5	8329.2	8330.2
RBMS3-AS2	8330.2	8331.2
MTND4LP9	8331.2	8332.2
RBMS3-AS1	8332.2	8333.2
AC116035.1	8333.2	8334.2
TGFBR2	8334.2	8335.2
AC096921.1	8335.2	8336.2
AC096921.2	8336.2	8337.2
GADL1	8337.2	8338.2
CNN2P6	8338.2	8339.2
H3P11	8339.2	8340.2
THRAP3P1	8340.2	8341.2
STT3B	8341.2	8342.2
OSBPL10	8342.2	8343.2
OSBPL10-AS1	8343.2	8344.2
ZNF587P1	8344.2	8345.2
ZNF860	8345.2	8346.2
RPL21P40	8346.2	8347.2
NIFKP7	8347.2	8348.2
GPD1L	8348.2	8349.2
AC094019.2	8349.2	8350.2
RPSAP11	8350.2	8351.2
AC097639.1	8351.2	8352.2
CMTM8	8352.2	8353.2
AC097639.2	8353.2	8354.2
KRT18P15	8354.2	8355.2
CMTM7	8355.2	8356.2
CMTM6	8356.2	8357.2
AC104306.1	8357.2	8358.2
DYNC1LI1	8358.2	8359.2
AC104306.2	8359.2	8360.2
IGBP1P3	8360.2	8361.2
RPL30P4	8361.2	8362.2
CNOT10	8362.2	8363.2
CNOT10-AS1	8363.2	8364.2
SUGT1P2	8364.2	8365.2
RPL23AP43	8365.2	8366.2
TRIM71	8366.2	8367.2
CCR4	8367.2	8368.2
GLB1	8368.2	8369.2
SEC13P1	8369.2	8370.2
SUMO2P10	8370.2	8371.2
TMPPE	8371.2	8372.2
CRTAP	8372.2	8373.2
AC112211.1	8373.2	8374.2
SUSD5	8374.2	8375.2
AC123900.1	8375.2	8376.2
FBXL2	8376.2	8377.2
UBP1	8377.2	8378.2
CLASP2	8378.2	8379.2
COX6CP10	8379.2	8380.2
AC112220.1	8380.2	8381.2
SDAD1P3	8381.2	8382.2
AC112220.2	8382.2	8383.2
PDCD6IP	8383.2	8384.2
LINC01811	8384.2	8385.2
AC123023.1	8385.2	8386.2
AC018359.1	8386.2	8387.2
FECHP1	8387.2	8388.2
KRT8P18	8388.2	8389.2
ARPP21	8389.2	8390.2
ARPP21-AS1	8390.2	8391.2
AC104308.1	8391.2	8392.2
RFC3P1	8392.2	8393.2
STAC	8393.2	8394.2
NBPF21P	8394.2	8395.2
DCLK3	8395.2	8396.2
HSPD1P6	8396.2	8397.2
LINC02033	8397.2	8398.2
AC105749.1	8398.2	8399.2
TRANK1	8399.2	8400.2
AC011816.1	8400.2	8401.2
AC011816.2	8401.2	8402.2
PRADC1P1	8402.2	8403.2
EPM2AIP1	8403.2	8404.2
MLH1	8404.2	8405.2
RPL29P11	8405.2	8406.2
LRRFIP2	8406.2	8407.2
UBE2D3P2	8407.2	8408.2
UBE2FP1	8408.2	8409.2
AC126118.1	8409.2	8410.2
AC097359.1	8410.2	8411.2
AC097359.3	8411.2	8412.2
AC097359.2	8412.2	8413.2
GOLGA4	8413.2	8414.2
TCEA1P2	8414.2	8415.2
C3orf35	8415.2	8416.2
ITGA9	8416.2	8417.2
ITGA9-AS1	8417.2	8418.2
RPL21P135	8418.2	8419.2
NDUFAF4P3	8419.2	8420.2
CTDSPL	8420.2	8421.2
VILL	8421.2	8422.2
PLCD1	8422.2	8423.2
DLEC1	8423.2	8424.2
PPP2R2DP1	8424.2	8425.2
ACAA1	8425.2	8426.2
MYD88	8426.2	8427.2
OXSR1	8427.2	8428.2
SLC22A13	8428.2	8429.2
AP006193.1	8429.2	8430.2
SLC22A14	8430.2	8431.2
DLEC1P1	8431.2	8432.2
XYLB	8432.2	8433.2
ACVR2B-AS1	8433.2	8434.2
ACVR2B	8434.2	8435.2
EXOG	8435.2	8436.2
DDTP1	8436.2	8437.2
RPL18AP7	8437.2	8438.2
SCN5A	8438.2	8439.2
SCN10A	8439.2	8440.2
AC116038.1	8440.2	8441.2
SCN11A	8441.2	8442.2
WDR48	8442.2	8443.2
GORASP1	8443.2	8444.2
TTC21A	8444.2	8445.2
CSRNP1	8445.2	8446.2
AC092053.3	8446.2	8447.2
AC092053.2	8447.2	8448.2
XIRP1	8448.2	8449.2
DSTNP4	8449.2	8450.2
CX3CR1	8450.2	8451.2
AC092053.1	8451.2	8452.2
CCR8	8452.2	8453.2
HNRNPA1P21	8453.2	8454.2
AC104850.1	8454.2	8455.2
EEF1A1P24	8455.2	8456.2
SLC25A38	8456.2	8457.2
RPSA	8457.2	8458.2
MOBP	8458.2	8459.2
AC092058.1	8459.2	8460.2
NFU1P1	8460.2	8461.2
MYRIP	8461.2	8462.2
EIF1B-AS1	8462.2	8463.2
EIF1B	8463.2	8464.2
ENTPD3-AS1	8464.2	8465.2
PGAM1P3	8465.2	8466.2
ENTPD3	8466.2	8467.2
RPL14	8467.2	8468.2
ZNF619	8468.2	8469.2
ZNF620	8469.2	8470.2
ZNF621	8470.2	8471.2
RPL5P10	8471.2	8472.2
EEF1GP3	8472.2	8473.2
AC122683.1	8473.2	8474.2
HMGN2P24	8474.2	8475.2
AC099560.1	8475.2	8476.2
AC099560.2	8476.2	8477.2
AC099541.1	8477.2	8478.2
AC009743.1	8478.2	8479.2
MRPS31P1	8479.2	8480.2
CTNNB1	8480.2	8481.2
ULK4	8481.2	8482.2
ATP6V0E1P2	8482.2	8483.2
RPL36P20	8483.2	8484.2
GEMIN2P2	8484.2	8485.2
TRAK1	8485.2	8486.2
AC093414.1	8486.2	8487.2
TPMTP2	8487.2	8488.2
CCK	8488.2	8489.2
AC018358.1	8489.2	8490.2
SALL4P6	8490.2	8491.2
EIF4BP4	8491.2	8492.2
LYZL4	8492.2	8493.2
RPL35AP8	8493.2	8494.2
VIPR1	8494.2	8495.2
VIPR1-AS1	8495.2	8496.2
SEC22C	8496.2	8497.2
SS18L2	8497.2	8498.2
NKTR	8498.2	8499.2
AC006059.1	8499.2	8500.2
ZBTB47	8500.2	8501.2
KLHL40	8501.2	8502.2
HHATL	8502.2	8503.2
AC006059.3	8503.2	8504.2
HHATL-AS1	8504.2	8505.2
AC006059.2	8505.2	8506.2
CCDC13	8506.2	8507.2
CCDC13-AS1	8507.2	8508.2
LINC02158	8508.2	8509.2
HIGD1A	8509.2	8510.2
AC099329.1	8510.2	8511.2
ACKR2	8511.2	8512.2
AC099329.2	8512.2	8513.2
AC092042.3	8513.2	8514.2
KRBOX1	8514.2	8515.2
CYP8B1	8515.2	8516.2
HNRNPA1P22	8516.2	8517.2
ZNF662	8517.2	8518.2
KRBOX1-AS1	8518.2	8519.2
GASK1A	8519.2	8520.2
AC092042.2	8520.2	8521.2
POMGNT2	8521.2	8522.2
AC092042.1	8522.2	8523.2
AC092042.4	8523.2	8524.2
SNRK	8524.2	8525.2
SNRK-AS1	8525.2	8526.2
ANO10	8526.2	8527.2
AC097638.1	8527.2	8528.2
ABHD5	8528.2	8529.2
AC006055.1	8529.2	8530.2
AC006058.2	8530.2	8531.2
AC006058.3	8531.2	8532.2
AC006058.4	8532.2	8533.2
AC006058.1	8533.2	8534.2
TOPAZ1	8534.2	8535.2
AC104187.1	8535.2	8536.2
TCAIM	8536.2	8537.2
C3orf86	8537.2	8538.2
LINC01988	8538.2	8539.2
ZNF445	8539.2	8540.2
ZNF852	8540.2	8541.2
EI24P3	8541.2	8542.2
AC099669.1	8542.2	8543.2
ZKSCAN7	8543.2	8544.2
ZKSCAN7-AS1	8544.2	8545.2
ZNF660	8545.2	8546.2
MPRIPP1	8546.2	8547.2
ZNF197	8547.2	8548.2
ZNF197-AS1	8548.2	8549.2
ZNF35	8549.2	8550.2
AC124045.1	8550.2	8551.2
SOCS5P3	8551.2	8552.2
ZNF502	8552.2	8553.2
ZNF501	8553.2	8554.2
KIAA1143	8554.2	8555.2
KIF15	8555.2	8556.2
TMEM42	8556.2	8557.2
TGM4	8557.2	8558.2
AC098649.1	8558.2	8559.2
ZDHHC3	8559.2	8560.2
RPL12P44	8560.2	8561.2
EXOSC7	8561.2	8562.2
CLEC3B	8562.2	8563.2
CDCP1	8563.2	8564.2
RPS24P8	8564.2	8565.2
TMEM158	8565.2	8566.2
LARS2	8566.2	8567.2
LARS2-AS1	8567.2	8568.2
LIMD1	8568.2	8569.2
LIMD1-AS1	8569.2	8570.2
SACM1L	8570.2	8571.2
AC098476.1	8571.2	8572.2
SLC6A20	8572.2	8573.2
LZTFL1	8573.2	8574.2
AC099782.1	8574.2	8575.2
SDHDP4	8575.2	8576.2
CCR9	8576.2	8577.2
FYCO1	8577.2	8578.2
CXCR6	8578.2	8579.2
XCR1	8579.2	8580.2
NRBF2P2	8580.2	8581.2
FLT1P1	8581.2	8582.2
CCR3	8582.2	8583.2
CCR1	8583.2	8584.2
UQCRC2P1	8584.2	8585.2
CCR2	8585.2	8586.2
CCR5AS	8586.2	8587.2
CCR5	8587.2	8588.2
CCRL2	8588.2	8589.2
LINC02009	8589.2	8590.2
LTF	8590.2	8591.2
RTP3	8591.2	8592.2
LRRC2	8592.2	8593.2
LRRC2-AS1	8593.2	8594.2
TDGF1	8594.2	8595.2
AC104304.2	8595.2	8596.2
FAM240A	8596.2	8597.2
ALS2CL	8597.2	8598.2
TMIE	8598.2	8599.2
AC109583.1	8599.2	8600.2
PRSS50	8600.2	8601.2
PRSS46P	8601.2	8602.2
PRSS45P	8602.2	8603.2
AC109583.4	8603.2	8604.2
PRSS43P	8604.2	8605.2
AC109583.2	8605.2	8606.2
PRSS44P	8606.2	8607.2
PRSS42P	8607.2	8608.2
MYL3	8608.2	8609.2
PTH1R	8609.2	8610.2
AC109583.3	8610.2	8611.2
CCDC12	8611.2	8612.2
NBEAL2	8612.2	8613.2
NRADDP	8613.2	8614.2
SETD2	8614.2	8615.2
MRPL57P3	8615.2	8616.2
KIF9-AS1	8616.2	8617.2
KIF9	8617.2	8618.2
KLHL18	8618.2	8619.2
AC104447.1	8619.2	8620.2
AC099778.1	8620.2	8621.2
PTPN23	8621.2	8622.2
SCAP	8622.2	8623.2
AC099778.2	8623.2	8624.2
ELP6	8624.2	8625.2
BOLA2P2	8625.2	8626.2
CSPG5	8626.2	8627.2
SMARCC1	8627.2	8628.2
AC112512.1	8628.2	8629.2
HIGD2AP2	8629.2	8630.2
DHX30	8630.2	8631.2
MAP4	8631.2	8632.2
VPS26BP1	8632.2	8633.2
AC124916.2	8633.2	8634.2
AC124916.1	8634.2	8635.2
CDC25A	8635.2	8636.2
SNRPFP4	8636.2	8637.2
NDUFB1P1	8637.2	8638.2
CAMP	8638.2	8639.2
ZNF589	8639.2	8640.2
MRPS18AP1	8640.2	8641.2
NME6	8641.2	8642.2
FCF1P2	8642.2	8643.2
SPINK8	8643.2	8644.2
FBXW12	8644.2	8645.2
PLXNB1	8645.2	8646.2
CCDC51	8646.2	8647.2
TMA7	8647.2	8648.2
AC134772.1	8648.2	8649.2
ATRIP	8649.2	8650.2
TREX1	8650.2	8651.2
SHISA5	8651.2	8652.2
PFKFB4	8652.2	8653.2
UCN2	8653.2	8654.2
COL7A1	8654.2	8655.2
UQCRC1	8655.2	8656.2
TMEM89	8656.2	8657.2
SLC26A6	8657.2	8658.2
CELSR3	8658.2	8659.2
LINC02585	8659.2	8660.2
AC141002.1	8660.2	8661.2
NCKIPSD	8661.2	8662.2
IP6K2	8662.2	8663.2
PRKAR2A	8663.2	8664.2
PRKAR2A-AS1	8664.2	8665.2
SLC25A20	8665.2	8666.2
ARIH2OS	8666.2	8667.2
ARIH2	8667.2	8668.2
AC137630.2	8668.2	8669.2
AC137630.1	8669.2	8670.2
AC137630.4	8670.2	8671.2
P4HTM	8671.2	8672.2
AC137630.5	8672.2	8673.2
WDR6	8673.2	8674.2
DALRD3	8674.2	8675.2
NDUFAF3	8675.2	8676.2
IMPDH2	8676.2	8677.2
AC137630.3	8677.2	8678.2
QRICH1	8678.2	8679.2
QARS1	8679.2	8680.2
USP19	8680.2	8681.2
LAMB2	8681.2	8682.2
LAMB2P1	8682.2	8683.2
CCDC71	8683.2	8684.2
KLHDC8B	8684.2	8685.2
C3orf84	8685.2	8686.2
IHO1	8686.2	8687.2
AC121247.2	8687.2	8688.2
AC121247.1	8688.2	8689.2
C3orf62	8689.2	8690.2
USP4	8690.2	8691.2
GPX1	8691.2	8692.2
RHOA	8692.2	8693.2
RHOA-IT1	8693.2	8694.2
TCTA	8694.2	8695.2
AC104452.1	8695.2	8696.2
AMT	8696.2	8697.2
NICN1	8697.2	8698.2
DAG1	8698.2	8699.2
BSN-DT	8699.2	8700.2
BSN	8700.2	8701.2
BSN-AS1	8701.2	8702.2
APEH	8702.2	8703.2
MST1	8703.2	8704.2
AC099668.1	8704.2	8705.2
RNF123	8705.2	8706.2
AMIGO3	8706.2	8707.2
GMPPB	8707.2	8708.2
IP6K1	8708.2	8709.2
COX6CP14	8709.2	8710.2
AC139451.1	8710.2	8711.2
CDHR4	8711.2	8712.2
INKA1	8712.2	8713.2
UBA7	8713.2	8714.2
TRAIP	8714.2	8715.2
CAMKV	8715.2	8716.2
ACTBP13	8716.2	8717.2
MST1R	8717.2	8718.2
AC105935.2	8718.2	8719.2
AC105935.1	8719.2	8720.2
MON1A	8720.2	8721.2
RBM6	8721.2	8722.2
RBM5	8722.2	8723.2
RBM5-AS1	8723.2	8724.2
SEMA3F-AS1	8724.2	8725.2
SEMA3F	8725.2	8726.2
GNAT1	8726.2	8727.2
SLC38A3	8727.2	8728.2
GNAI2	8728.2	8729.2
U73169.1	8729.2	8730.2
U73166.1	8730.2	8731.2
SEMA3B-AS1	8731.2	8732.2
SEMA3B	8732.2	8733.2
LSMEM2	8733.2	8734.2
IFRD2	8734.2	8735.2
HYAL3	8735.2	8736.2
NAA80	8736.2	8737.2
HYAL1	8737.2	8738.2
HYAL2	8738.2	8739.2
TUSC2	8739.2	8740.2
RASSF1	8740.2	8741.2
RASSF1-AS1	8741.2	8742.2
ZMYND10-AS1	8742.2	8743.2
ZMYND10	8743.2	8744.2
NPRL2	8744.2	8745.2
CYB561D2	8745.2	8746.2
Z84492.2	8746.2	8747.2
TMEM115	8747.2	8748.2
CACNA2D2	8748.2	8749.2
Z84492.1	8749.2	8750.2
C3orf18	8750.2	8751.2
HEMK1	8751.2	8752.2
AC096920.1	8752.2	8753.2
CISH	8753.2	8754.2
MAPKAPK3	8754.2	8755.2
LINC02019	8755.2	8756.2
DOCK3	8756.2	8757.2
PPIAP69	8757.2	8758.2
AC126120.1	8758.2	8759.2
ZNF652P1	8759.2	8760.2
ST13P14	8760.2	8761.2
MANF	8761.2	8762.2
RBM15B	8762.2	8763.2
DCAF1	8763.2	8764.2
RAD54L2	8764.2	8765.2
TEX264	8765.2	8766.2
GRM2	8766.2	8767.2
IQCF6	8767.2	8768.2
AC097636.1	8768.2	8769.2
IQCF4P	8769.2	8770.2
IQCF3	8770.2	8771.2
IQCF2	8771.2	8772.2
IQCF5-AS1	8772.2	8773.2
IQCF5	8773.2	8774.2
IQCF1	8774.2	8775.2
RRP9	8775.2	8776.2
PARP3	8776.2	8777.2
AC115284.2	8777.2	8778.2
GPR62	8778.2	8779.2
PCBP4	8779.2	8780.2
AC115284.1	8780.2	8781.2
ABHD14B	8781.2	8782.2
ABHD14A	8782.2	8783.2
ABHD14A-ACY1	8783.2	8784.2
ACY1	8784.2	8785.2
RPL29	8785.2	8786.2
AC115284.3	8786.2	8787.2
DUSP7	8787.2	8788.2
POC1A	8788.2	8789.2
ALDOAP1	8789.2	8790.2
ALAS1	8790.2	8791.2
AC097637.2	8791.2	8792.2
TLR9	8792.2	8793.2
AC097637.1	8793.2	8794.2
TWF2	8794.2	8795.2
AC006252.1	8795.2	8796.2
PPM1M	8796.2	8797.2
WDR82	8797.2	8798.2
GLYCTK	8798.2	8799.2
GLYCTK-AS1	8799.2	8800.2
DNAH1	8800.2	8801.2
PPP2R5CP	8801.2	8802.2
BAP1	8802.2	8803.2
PHF7	8803.2	8804.2
SEMA3G	8804.2	8805.2
TNNC1	8805.2	8806.2
NISCH	8806.2	8807.2
STAB1	8807.2	8808.2
NT5DC2	8808.2	8809.2
SMIM4	8809.2	8810.2
PBRM1	8810.2	8811.2
GNL3	8811.2	8812.2
GLT8D1	8812.2	8813.2
SPCS1	8813.2	8814.2
NEK4	8814.2	8815.2
AC104446.2	8815.2	8816.2
AC006254.2	8816.2	8817.2
AC006254.3	8817.2	8818.2
ITIH1	8818.2	8819.2
ITIH3	8819.2	8820.2
ITIH4	8820.2	8821.2
AC006254.1	8821.2	8822.2
ITIH4-AS1	8822.2	8823.2
MUSTN1	8823.2	8824.2
STIMATE-MUSTN1	8824.2	8825.2
STIMATE	8825.2	8826.2
AC099667.1	8826.2	8827.2
SFMBT1	8827.2	8828.2
AC096887.1	8828.2	8829.2
AC096887.2	8829.2	8830.2
SERBP1P3	8830.2	8831.2
RFT1	8831.2	8832.2
PRKCD	8832.2	8833.2
TKT	8833.2	8834.2
DCP1A	8834.2	8835.2
CACNA1D	8835.2	8836.2
AC092035.1	8836.2	8837.2
AC012467.1	8837.2	8838.2
CHDH	8838.2	8839.2
IL17RB	8839.2	8840.2
AC012467.2	8840.2	8841.2
ACTR8	8841.2	8842.2
SELENOK	8842.2	8843.2
CABYRP1	8843.2	8844.2
CACNA2D3	8844.2	8845.2
RPS15P5	8845.2	8846.2
ESRG	8846.2	8847.2
CACNA2D3-AS1	8847.2	8848.2
LRTM1	8848.2	8849.2
AC092059.1	8849.2	8850.2
LINC02017	8850.2	8851.2
LINC02030	8851.2	8852.2
AC121764.2	8852.2	8853.2
AC121764.3	8853.2	8854.2
WNT5A	8854.2	8855.2
WNT5A-AS1	8855.2	8856.2
AC121764.1	8856.2	8857.2
ERC2	8857.2	8858.2
AC025572.1	8858.2	8859.2
ERC2-IT1	8859.2	8860.2
CCDC66	8860.2	8861.2
TASOR	8861.2	8862.2
ARHGEF3	8862.2	8863.2
ARHGEF3-AS1	8863.2	8864.2
SPATA12	8864.2	8865.2
AC097358.2	8865.2	8866.2
IL17RD	8866.2	8867.2
AC097358.1	8867.2	8868.2
HESX1	8868.2	8869.2
APPL1	8869.2	8870.2
ASB14	8870.2	8871.2
DNAH12	8871.2	8872.2
RNF7P1	8872.2	8873.2
AC092418.1	8873.2	8874.2
PDE12	8874.2	8875.2
ARF4	8875.2	8876.2
ARF4-AS1	8876.2	8877.2
DENND6A	8877.2	8878.2
DENND6A-AS1	8878.2	8879.2
DENND6A-DT	8879.2	8880.2
SLMAP	8880.2	8881.2
PDHA1P1	8881.2	8882.2
PPIAP16	8882.2	8883.2
FLNB	8883.2	8884.2
FLNB-AS1	8884.2	8885.2
AC137936.1	8885.2	8886.2
AC137936.2	8886.2	8887.2
DNASE1L3	8887.2	8888.2
ABHD6	8888.2	8889.2
HTD2	8889.2	8890.2
RPP14	8890.2	8891.2
AC098479.1	8891.2	8892.2
PXK	8892.2	8893.2
AC135507.2	8893.2	8894.2
PDHB	8894.2	8895.2
AC135507.1	8895.2	8896.2
AC116036.2	8896.2	8897.2
KCTD6	8897.2	8898.2
ACOX2	8898.2	8899.2
AC116036.1	8899.2	8900.2
FAM107A	8900.2	8901.2
AC119424.1	8901.2	8902.2
FAM3D-AS1	8902.2	8903.2
FAM3D	8903.2	8904.2
CFAP20DC	8904.2	8905.2
CFAP20DC-AS1	8905.2	8906.2
AC126121.3	8906.2	8907.2
AC138057.1	8907.2	8908.2
AC126121.2	8908.2	8909.2
AC126121.1	8909.2	8910.2
FHIT	8910.2	8911.2
AC104164.2	8911.2	8912.2
PPIAP70	8912.2	8913.2
AC104164.1	8913.2	8914.2
PPIAP71	8914.2	8915.2
PTPRG	8915.2	8916.2
RPL10AP6	8916.2	8917.2
ID2B	8917.2	8918.2
PTPRG-AS1	8918.2	8919.2
C3orf14	8919.2	8920.2
FEZF2	8920.2	8921.2
CADPS	8921.2	8922.2
AC012519.1	8922.2	8923.2
AC096915.1	8923.2	8924.2
LINC00698	8924.2	8925.2
KRT8P35	8925.2	8926.2
UBL5P3	8926.2	8927.2
SYNPR	8927.2	8928.2
SYNPR-AS1	8928.2	8929.2
SNTN	8929.2	8930.2
AC104162.1	8930.2	8931.2
C3orf49	8931.2	8932.2
THOC7	8932.2	8933.2
THOC7-AS1	8933.2	8934.2
ATXN7	8934.2	8935.2
SCAANT1	8935.2	8936.2
PSMD6-AS2	8936.2	8937.2
AC012557.1	8937.2	8938.2
PSMD6	8938.2	8939.2
PSMD6-AS1	8939.2	8940.2
AC012557.2	8940.2	8941.2
PRICKLE2-AS1	8941.2	8942.2
LINC00994	8942.2	8943.2
PRICKLE2	8943.2	8944.2
PRICKLE2-AS2	8945.2	8946.2
PRDX3P4	8946.2	8947.2
PRICKLE2-AS3	8947.2	8948.2
PRICKLE2-DT	8948.2	8949.2
ADAMTS9	8949.2	8950.2
ADAMTS9-AS1	8950.2	8951.2
ADAMTS9-AS2	8951.2	8952.2
LINC02040	8952.2	8953.2
MAGI1	8953.2	8954.2
AC121493.1	8954.2	8955.2
ILF2P1	8955.2	8956.2
RPL17P17	8956.2	8957.2
MAGI1-IT1	8957.2	8958.2
MAGI1-AS1	8958.2	8959.2
AC106827.1	8959.2	8960.2
SLC25A26	8960.2	8961.2
LRIG1	8961.2	8962.2
AC104440.1	8962.2	8963.2
RPL21P41	8963.2	8964.2
AC098969.1	8964.2	8965.2
KBTBD8	8965.2	8966.2
AC114401.1	8966.2	8967.2
SUCLG2	8967.2	8968.2
NDUFB4P1	8968.2	8969.2
SUCLG2-AS1	8969.2	8970.2
TAFA1	8970.2	8971.2
COPS8P2	8971.2	8972.2
AC107626.1	8972.2	8973.2
AC096922.1	8973.2	8974.2
PSMC1P1	8974.2	8975.2
TAFA4	8975.2	8976.2
EOGT	8976.2	8977.2
AC109587.1	8977.2	8978.2
TMF1	8978.2	8979.2
UBA3	8979.2	8980.2
ARL6IP5	8980.2	8981.2
LMOD3	8981.2	8982.2
FRMD4B	8982.2	8983.2
RBM43P1	8983.2	8984.2
AC099328.1	8984.2	8985.2
AC104445.1	8985.2	8986.2
MITF	8986.2	8987.2
SAMMSON	8987.2	8988.2
AC139700.1	8988.2	8989.2
UQCRHP4	8989.2	8990.2
MDFIC2	8990.2	8991.2
COX6CP6	8991.2	8992.2
HMGB1P36	8992.2	8993.2
FOXP1	8993.2	8994.2
AC097634.4	8994.2	8995.2
FOXP1-AS1	8995.2	8996.2
AC097634.2	8996.2	8997.2
FOXP1-IT1	8997.2	8998.2
AC097634.3	8998.2	8999.2
AC097634.1	8999.2	9000.2
EIF4E3	9000.2	9001.2
GPR27	9001.2	9002.2
PROK2	9002.2	9003.2
LINC00877	9003.2	9004.2
UBE2Q2P9	9004.2	9005.2
AC105265.2	9005.2	9006.2
AC105265.3	9006.2	9007.2
AC105265.1	9007.2	9008.2
CCDC137P	9008.2	9009.2
LINC00870	9009.2	9010.2
AC112219.2	9010.2	9011.2
AC134508.1	9011.2	9012.2
RYBP	9012.2	9013.2
AC104435.2	9013.2	9014.2
AC104435.1	9014.2	9015.2
SHQ1	9015.2	9016.2
AC134050.1	9016.2	9017.2
PSMD12P1	9017.2	9018.2
LAPTM4BP2	9018.2	9019.2
GXYLT2	9019.2	9020.2
FTH1P23	9020.2	9021.2
PPP4R2	9021.2	9022.2
EBLN2	9022.2	9023.2
CCDC75P1	9023.2	9024.2
PDZRN3	9024.2	9025.2
PDZRN3-AS1	9025.2	9026.2
AC117489.1	9026.2	9027.2
AC108725.1	9027.2	9028.2
LINC02005	9028.2	9029.2
LINC02047	9029.2	9030.2
AC016930.1	9030.2	9031.2
AKR1B1P2	9031.2	9032.2
CNTN3	9032.2	9033.2
NIPA2P2	9033.2	9034.2
HNRNPA3P6	9034.2	9035.2
MYLKP1	9035.2	9036.2
OR7E66P	9036.2	9037.2
OR7E22P	9037.2	9038.2
OR7E55P	9038.2	9039.2
AC139453.2	9039.2	9040.2
LSP1P2	9040.2	9041.2
AC139453.1	9041.2	9042.2
ALG1L6P	9042.2	9043.2
FAM86DP	9043.2	9044.2
LINC02018	9044.2	9045.2
ENPP7P2	9045.2	9046.2
SNRPCP10	9046.2	9047.2
AC133041.1	9047.2	9048.2
RPS3AP15	9048.2	9049.2
AC108724.1	9049.2	9050.2
OR7E121P	9050.2	9051.2
UNC93B3	9051.2	9052.2
RPL23AP49	9052.2	9053.2
AC108724.2	9053.2	9054.2
CLUHP10	9054.2	9055.2
AGGF1P3	9055.2	9056.2
RARRES2P1	9056.2	9057.2
FRG2C	9057.2	9058.2
DUX4L26	9058.2	9059.2
LINC00960	9059.2	9060.2
ZNF717	9060.2	9061.2
ROBO2	9061.2	9062.2
CAP1P1	9062.2	9063.2
